,City,Country,Latitude,Longitude,Temperature High,Temperature Low,Feels Like Temp.,Humidity,Cloudiness,Wind Speed
0,Suntar,RU,62.1444,117.6319,59.99,59.99,60.21,96,100,1.5
1,Saldanha,ZA,-33.0117,17.9442,51.85,51.85,50.36,77,100,21.83
2,Zeerust,ZA,-25.5369,26.0751,32.81,32.81,32.81,52,0,0.31
3,Butaritari,KI,3.0707,172.7902,81.66,81.66,87.51,78,100,12.84
4,Stornoway,GB,58.2093,-6.3865,55.92,52.93,55.53,100,90,3.44
5,Port Alfred,ZA,-33.5906,26.891,57.78,57.78,57.29,86,100,7.67
6,Hobart,AU,-42.8794,147.3294,49.01,43.27,47.84,64,75,1.99
7,East London,ZA,-33.0153,27.9116,56.34,56.34,55.81,88,0,5.75
8,Klaksvík,FO,62.2266,-6.589,49.12,49.12,46.9,93,98,5.46
9,Port Lincoln,AU,-34.7333,135.8667,54.9,54.9,52.34,48,51,19.84
10,Paamiut,GL,61.994,-49.6678,43.92,43.92,39.61,77,28,7.47
11,Bada,RU,51.392,109.8717,72.34,72.34,71.82,54,80,6.53
12,Mataura,NZ,-46.1927,168.8643,46.47,46.47,45.57,86,100,3.11
13,Tiksi,RU,71.6872,128.8694,50.49,50.49,49.23,85,100,15.86
14,Bonfim,BR,3.0833,-59.95,76.77,76.77,77.99,82,53,3.83
15,Vaini,TO,-21.2,-175.2,77.16,77.16,79.0,94,20,5.75
16,Hilo,US,19.7297,-155.09,78.53,74.39,77.94,74,1,4.61
17,San Patricio,US,28.017,-97.5169,84.85,80.08,88.56,78,100,9.53
18,Bredasdorp,ZA,-34.5322,20.0403,49.32,48.27,48.51,93,100,3.44
19,Rikitea,PF,-23.1203,-134.9692,71.56,71.56,71.47,65,100,25.64
20,Aklavik,CA,68.2191,-135.0107,77.83,77.83,77.32,43,90,6.89
21,Ribeira Grande,PT,38.5167,-28.7,70.23,70.23,71.19,90,80,25.21
22,Morón,AR,-34.6534,-58.6198,46.98,37.8,43.72,82,4,1.01
23,Atuona,PF,-9.8,-139.0333,77.38,77.38,78.24,73,49,28.61
24,Bethel,US,41.3712,-73.414,71.04,64.29,67.77,91,6,2.46
25,Hermanus,ZA,-34.4187,19.2345,50.9,48.79,48.79,83,100,1.52
26,Qaanaaq,GL,77.484,-69.3632,37.83,37.83,37.83,78,99,2.44
27,Honiara,SB,-9.4333,159.95,85.86,85.86,91.54,62,100,4.9
28,Chokurdakh,RU,70.6333,147.9167,51.51,51.51,50.22,82,100,10.6
29,Rabo de Peixe,PT,37.8,-25.5833,69.31,69.31,70.09,88,20,13.8
30,Albany,US,42.6001,-73.9662,68.72,63.28,66.9,96,18,4.63
31,Saint Paul Harbor,US,57.79,-152.4072,65.71,65.71,64.94,63,1,6.91
32,Olafsvik,IS,64.8945,-23.7142,51.53,51.53,50.9,96,100,10.96
33,New Norfolk,AU,-42.7826,147.0587,48.65,42.89,43.99,65,99,4.0
34,Alghero,IT,40.5589,8.3181,64.49,64.49,65.07,94,0,3.44
35,Broken Hill,AU,-31.95,141.4333,57.04,57.04,55.02,55,98,26.89
36,Flinders,AU,-34.5833,150.8552,59.18,55.8,56.14,61,81,4.0
37,Kumul,CN,42.8,93.45,75.29,75.29,74.5,42,100,10.33
38,Punta Arenas,CL,-53.15,-70.9167,39.31,39.11,27.34,81,0,31.07
39,Saint-Philippe,RE,-21.3585,55.7679,71.19,63.1,68.72,76,77,15.52
40,Cidreira,BR,-30.1811,-50.2056,48.27,48.27,42.94,81,73,13.06
41,Ushuaia,AR,-54.8,-68.3,37.06,37.06,37.06,87,75,0.0
42,Koboko,UG,3.4136,30.9599,61.75,61.75,61.86,90,74,4.74
43,Svay Rieng,KH,11.0879,105.7993,85.64,85.64,92.98,67,96,10.8
44,Hirado,JP,33.3597,129.5531,90.75,90.36,103.35,69,100,8.23
45,George Town,MY,5.4112,100.3354,89.89,89.53,102.36,69,20,1.01
46,Bluff,NZ,-46.6,168.3333,46.8,46.8,42.33,74,100,9.28
47,San Quintín,MX,30.4833,-115.95,70.5,70.5,71.06,81,0,11.14
48,Lompoc,US,34.6391,-120.4579,73.11,58.89,61.11,92,1,6.91
49,Province of Brindisi,IT,40.5833,17.6667,71.8,67.96,71.6,83,39,8.88
50,Katsuura,JP,35.1333,140.3,91.51,87.84,104.11,68,9,8.01
51,Norman Wells,CA,65.282,-126.8329,73.44,73.44,72.5,43,75,11.5
52,Srednekolymsk,RU,67.45,153.6833,64.71,64.71,62.91,43,100,4.92
53,Anloga,GH,5.7947,0.8973,77.22,77.22,78.64,85,77,13.09
54,Husavik,IS,66.0449,-17.3389,52.9,52.9,51.84,84,15,1.39
55,Tasiilaq,GL,65.6145,-37.6368,41.16,41.16,36.36,98,100,7.34
56,Mahébourg,MU,-20.4081,57.7,73.26,71.89,71.6,60,40,16.11
57,Mayo,US,38.8876,-76.5119,78.12,69.42,75.25,83,1,1.99
58,Huarmey,PE,-10.0681,-78.1522,63.99,63.99,63.99,83,13,7.67
59,Puerto Ayora,EC,-0.7393,-90.3518,72.55,72.55,73.89,93,73,5.99
60,Carnarvon,AU,-24.8667,113.6333,77.07,77.07,77.95,74,40,20.71
61,Jamestown,US,42.097,-79.2353,68.72,65.84,67.42,90,1,1.01
62,Marand,IR,38.4329,45.7749,82.74,82.74,81.1,31,0,2.77
63,Esperance,AU,-33.8667,121.9,55.24,55.24,53.74,70,100,14.74
64,Hithadhoo,MV,-0.6,73.0833,81.93,81.93,86.74,72,77,6.33
65,Bandarbeyla,SO,9.4942,50.8122,80.06,80.06,82.69,67,72,31.74
66,Pedernales,DO,18.0384,-71.744,81.1,81.1,85.51,74,76,7.74
67,Sungai Penuh,ID,-2.0833,101.3833,74.3,74.3,74.34,62,100,2.19
68,Shingū,JP,33.7333,135.9833,85.19,81.91,86.49,71,6,7.4
69,Adrar,MR,20.5022,-10.0711,90.64,90.64,86.45,12,33,8.1
70,Thompson,CA,55.7435,-97.8558,51.96,51.96,50.72,82,20,0.0
71,Port Elizabeth,ZA,-33.918,25.5701,57.49,57.49,56.79,82,0,10.36
72,Cam Ranh,VN,11.9214,109.1591,93.16,93.16,94.82,38,40,3.44
73,Busselton,AU,-33.65,115.3333,57.04,56.08,56.01,76,99,18.86
74,Longyearbyen,SJ,78.2186,15.6401,42.64,42.64,37.78,75,75,8.05
75,Inhambane,MZ,-23.865,35.3833,64.38,64.38,64.94,94,20,4.61
76,Caravelas,BR,-17.7125,-39.2481,71.51,71.51,72.64,91,0,4.36
77,Ruwi,OM,23.5996,58.5507,98.29,98.29,110.89,50,50,8.39
78,Yellowknife,CA,62.456,-114.3525,62.29,57.33,56.8,82,20,5.75
79,Blagoveshchenka,RU,52.8333,79.8667,71.49,71.49,70.83,53,100,5.88
80,Alta Floresta,BR,-9.8756,-56.0861,68.95,68.95,68.18,56,15,3.89
